id,source,physical_page,printed_page,item,content_and_conditions,current_web,gap,decision,new_location,confirmation,public_locations,implementation_treatment,implementation_detail
B01.01,パンフレット0723,1,なし,表紙・花鳥風月,牡丹と燕、赤地・金の線、やまとの家の名称,PC01/SP01 表紙,現行をユーザーが評価済み。中身の改訂と切り離す,採用,既存表紙を維持,原資料照合済み。公開時の採用版確認は共通,#top,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B02.01,パンフレット0723,2,なし,家づくりの考え方,「ずっと、愛せる家。」長く使う設備と自由設計の説明,PC02/SP02 導入,現行は建物本体価格の確認が中心で、選び方の理由がない,統合,P01・P23,原資料照合済み。公開時の採用版確認は共通,#catalog-introduction / #catalog-design,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B02.02,パンフレット0723,2,なし,実例写真と3シリーズ,花・京・風の住まい。掲載写真は家具・演出・選択設備を含む,PC02/SP02 導入,現行は3枚写真と短文のみ。写真内の採用仕様との関係が未提示,統合,P02–05,Q10,#catalog-series / #catalog-hana / #catalog-kyo / #catalog-kaze,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B03.01,パンフレット0723,3,2–3,STEDIA空間事例,メーカーイメージと住空間事例。花・京で選べるキッチンの導入,PC04/SP07 キッチン,現在もキッチン写真はあるが選択肢への説明が弱い,統合,P06–07,Q01/Q10,#catalog-kitchen / #catalog-stedia,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B03.02,パンフレット0723,3,2–3,写真と実際の仕様の差,イメージ写真と実際の商品仕様が異なる場合がある,PC04/SP07 キッチン,汎用の総括注記だけでは設備ごとの区別ができない,採用,P06–09 各写真の近接注記,原資料照合済み。公開時の採用版確認は共通,#catalog-kitchen / #catalog-stedia / #catalog-kt / #catalog-es,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B04.01,パンフレット0723,4,4–5,STEDIAレイアウト,花：デュアルトップ対面またはI型。京：I型。KTとの選択関係は比較表にも記載,PC04/SP07 キッチン,現行の「花・京はSTEDIA」だけではKTが欠落,採用,P06・P07・P28,Q01,#catalog-kitchen / #catalog-stedia / #catalog-compare-water,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B04.02,パンフレット0723,4,4–5,ステンレスエコキャビネット,骨組みまでステンレス。湿気・におい・汚れへの手入れの説明。絶対に錆びないとはしない,PC04/SP07 キッチン,機能説明なし,採用,P07,原資料照合済み。公開時の採用版確認は共通,#catalog-stedia,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B04.03,パンフレット0723,4,4–5,美コートワークトップ,親水性コーティングで汚れの下に水が入りやすい。清掃は必要,PC04/SP07 キッチン,機能説明なし,採用,P07,原資料照合済み。公開時の採用版確認は共通,#catalog-stedia,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B04.04,パンフレット0723,4,4–5,流レールシンク,水流とシンク形状でごみを排水口へ集める。水が流れる仕組み図を添える,PC04/SP07 キッチン,機能説明なし,採用,P07,原資料照合済み。公開時の採用版確認は共通,#catalog-stedia,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B04.05,パンフレット0723,4,4–5,とってもクリン排水口,継ぎ目の少ない一体構造、ステンレスの網かご。分解・清掃する部分を見せる,PC04/SP07 キッチン,機能説明なし,採用,P07,原資料照合済み。公開時の採用版確認は共通,#catalog-stedia,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
